Time,GDP(constant),GDP_growth,Total_population,SDG1-1,SDG2-1,SDG3-1,SDG3-2,SDG3-3,SDG3-4,SDG3-5,SDG3-6,SDG4-1,SDG6-1,SDG6-2,SDG6-3,SDG7-1,SDG7-2,SDG8-3,SDG8-4,SDG8-5,SDG8-6,SDG9-1,SDG9-2,SDG9-3,SDG9-4,SDG9-5,SDG9-6,SDG10-1,SDG11-1,SDG12-1,SDG12-2,SDG13-1,SDG14-1,SDG15-1,SDG16-1,SDG17-1,SDG17-2,SDG17-3,SDG17-4,SDG17-5,SDG17-6,SDG17-7
1,0.052444415,0.003431688,0.026967799,-0.029767825,-0.017214301,-0.170551369,0.189962917,0.000258417,-0.017206719,0.007161735,0.041659263,-0.077784365,0.107627565,0.097756542,0.086770824,0.07374225,0.039390583,0.062137834,0.106015366,0.058777177,0.133959651,0.09970265,0.095802337,0.034423444,0.085232913,0.016930508,-0.066401918,0.039483797,0.030739427,0.12200413,0.097701135,0.024731571,0.032068124,0.08623663,0.004116158,0.074315598,0.020955735,0.047572359,0.140182404,0.129275569,0.091362722,0.166597434
0.052444415,1,-0.023110182,0.424111693,0.145234016,0.220492197,-0.192196838,0.230737257,0.41591505,0.228525902,0.246466126,0.614929911,0.032113509,0.192990069,0.193667892,0.162014283,0.188764026,0.158491604,0.331964966,0.236624823,0.191140937,0.368003829,0.891114477,0.953054055,0.414200949,0.896936969,0.893223932,0.28152635,0.992396959,0.673407816,0.551735244,0.914335956,0.821929071,0.391151342,0.381989315,0.231633131,0.948417314,0.987869363,0.991921262,0.263302418,0.748601357,0.673639691,0.836610989
0.003431688,-0.023110182,1,0.070775742,0.15246572,0.128864752,0.14955757,-0.123544885,0.097749652,0.0977253,-0.129433281,0.046773551,0.071302127,-0.247203981,-0.121902196,-0.11690776,-0.133844986,-0.093382114,-0.116295271,-0.05493507,-0.103634865,-0.188138433,-0.023987669,-0.017809423,-0.174401202,-0.008511421,0.025913478,-0.1194155,-0.054070509,0.053099407,0.053817795,-0.01926877,0.029087727,0.06496971,0.031803946,-0.117308371,-0.083775965,-0.053579358,-0.098732203,0.022049174,-0.001905797,0.008001623,-0.023465478
0.026967799,0.424111693,0.070775742,1,0.789728347,0.942150374,0.047706552,0.029430382,0.947168845,0.863409725,-0.043003666,0.890578936,0.631218715,-0.146539114,-0.069344284,-0.068441002,-0.041879111,0.009829979,-0.052293768,-0.0748405,-0.09774348,0.001592089,0.309987323,0.382694248,0.150751522,0.572731144,0.697698092,0.190538147,0.427520564,0.904797519,0.565073659,0.644456602,0.739739371,0.77217668,0.563357721,-0.038861445,0.375246415,0.485708856,0.313539412,0.582488586,0.337673809,0.578551616,0.434413268
-0.029767825,0.145234016,0.15246572,0.789728347,1,0.939482831,0.209712518,-0.128946104,0.851317881,0.923530451,-0.159469454,0.504680497,0.511922138,-0.481507133,-0.21876437,-0.179965146,-0.174233997,-0.091512941,-0.136829641,-0.163024752,-0.239532812,-0.137504017,0.073200942,0.144161713,-0.011933014,0.209549674,0.279113419,-0.130017036,0.133203076,0.520960491,0.470630217,0.273928993,0.360949884,0.386726065,0.530384714,-0.133115694,0.115447491,0.189760192,-0.01148362,0.739599616,0.126185864,0.182686495,0.160440136
-0.017214301,0.220492197,0.128864752,0.942150374,0.939482831,1,0.165496168,-0.06128558,0.924679151,0.92468253,-0.128475968,0.692865043,0.680296412,-0.438681217,-0.129998632,-0.154848153,-0.143240422,-0.043905758,-0.121578619,-0.148634978,-0.20810559,-0.11795159,0.138350749,0.197498822,0.036362588,0.332874855,0.510889297,0.132132874,0.204957042,0.733734529,0.434214088,0.368768705,0.517884036,0.633764805,0.555077088,-0.119493191,0.162773897,0.263742662,0.024960667,0.619903983,0.184857382,0.334015925,0.256180512
-0.170551369,-0.192196838,0.14955757,0.047706552,0.209712518,0.165496168,1,-0.884699028,0.01807462,0.145888065,-0.675847928,-0.058678638,0.434880768,-0.826757106,-0.693214141,-0.848208771,-0.800666144,-0.799863039,-0.572850549,-0.646223905,-0.80628916,-0.634592433,-0.220396859,-0.171805585,-0.647465939,-0.179840455,-0.127984349,-0.284260304,-0.19263801,-0.087365341,0.020545776,-0.18587272,-0.127422585,-0.057342114,-0.042643916,-0.618661595,-0.238431665,-0.193619506,-0.173205055,-0.024986983,-0.215002195,-0.128932879,-0.298639217
0.189962917,0.230737257,-0.123544885,0.029430382,-0.128946104,-0.06128558,-0.884699028,1,0.031712912,-0.069082753,0.742485168,0.110097508,-0.27886383,0.82714326,0.656620163,0.846189101,0.802617873,0.848837855,0.610259588,0.648498619,0.74706978,0.63328206,0.24529381,0.197017622,0.696747047,0.210449729,0.160131606,0.472483937,0.224092598,0.133640901,-0.02341581,0.221506745,0.144885369,0.086188935,0.120724561,0.669194298,0.28941356,0.235169863,0.198954868,0.116920658,0.247096974,0.163751906,0.337192891
0.000258417,0.41591505,0.097749652,0.947168845,0.851317881,0.924679151,0.01807462,0.031712912,1,0.91498956,-0.031719255,0.795723423,0.561394133,0.04868754,-0.006267416,-0.021735669,-0.004777073,0.064312933,-0.012259396,-0.040804591,-0.050999848,0.055412553,0.323403526,0.375083076,0.167089974,0.507080521,0.588553489,0.340977414,0.405279844,0.804151747,0.515437334,0.548732478,0.65694833,0.621502136,0.604309805,0.002341607,0.355347173,0.43656658,0.267608815,0.662281655,0.287187187,0.489167985,0.431847148
-0.017206719,0.228525902,0.0977253,0.863409725,0.923530451,0.92468253,0.145888065,-0.069082753,0.91498956,1,-0.111095993,0.599463023,0.755685957,-0.322880241,-0.119155629,-0.128232779,-0.102306124,-0.038158907,-0.089525531,-0.110111046,-0.155145298,-0.068949473,0.152902619,0.207878652,0.064178231,0.303855498,0.34106002,0.111202352,0.244847393,0.643090508,0.408744033,0.350623592,0.456909047,0.466220157,0.579489603,-0.079523123,0.177984739,0.25050485,0.05865039,0.616088044,0.146300615,0.375728549,0.242287336
0.007161735,0.246466126,-0.129433281,-0.043003666,-0.159469454,-0.128475968,-0.675847928,0.742485168,-0.031719255,-0.111095993,1,0.037967365,-0.194064145,0.598779386,0.623977824,0.677639997,0.713812891,0.629903585,0.702600879,0.734761091,0.701181622,0.552065905,0.278151362,0.239459073,0.710642718,0.15472726,0.077144868,0.40168819,0.248250409,0.082518334,0.013890333,0.184574417,0.098347946,-0.00975457,0.084903364,0.69497125,0.30385953,0.243207488,0.271557079,0.029604519,0.297658886,0.104960279,0.363373109
0.041659263,0.614929911,0.046773551,0.890578936,0.504680497,0.692865043,-0.058678638,0.110097508,0.795723423,0.599463023,0.037967365,1,0.412727163,0.101788679,-0.021094579,0.039982178,0.056153228,0.130266755,0.035169403,0.011158271,0.004957512,0.132984018,0.505794875,0.566629622,0.234627806,0.8382665,0.858365024,0.153402153,0.648383468,0.98451896,0.677423959,0.855092734,0.921050035,0.850248002,0.44773833,0.005152334,0.639551534,0.709253287,0.725267134,0.458458348,0.515572632,0.823945293,0.642098747
-0.077784365,0.032113509,0.071302127,0.631218715,0.511922138,0.680296412,0.434880768,-0.27886383,0.561394133,0.755685957,-0.194064145,0.412727163,1,-0.387102018,-0.289829216,-0.338816144,-0.290191082,-0.271648394,-0.182211447,-0.22168194,-0.33247967,-0.21466931,-0.030093933,0.006510622,-0.15524117,0.00109947,0.101891389,-0.075334352,-0.000963744,0.368761723,0.309936552,0.049159403,0.140263157,0.354244516,0.187385857,-0.236858299,-0.02008821,0.016046402,-0.025062472,0.292876882,-0.002355593,-0.017959813,-0.028263551
0.107627565,0.192990069,-0.247203981,-0.146539114,-0.481507133,-0.438681217,-0.826757106,0.82714326,0.04868754,-0.322880241,0.598779386,0.101788679,-0.387102018,1,0.704756929,0.845769667,0.849583663,0.756615031,0.614369924,0.687643051,0.858263187,0.571868965,0.252851866,0.183008559,0.668938629,0.214010545,0.170232476,0.285758294,0.198839835,0.108799353,-0.146891195,0.204270242,0.156075531,0.022478835,-0.009879793,0.63277123,0.255105134,0.222574893,0.189530246,-0.066602806,0.229407567,0.18251547,0.32548771
0.097756542,0.193667892,-0.121902196,-0.069344284,-0.21876437,-0.129998632,-0.693214141,0.656620163,-0.006267416,-0.119155629,0.623977824,-0.021094579,-0.289829216,0.704756929,1,0.660919171,0.718049295,0.543079737,0.652406995,0.690862304,0.747693703,0.485924941,0.281877414,0.16839939,0.757097245,0.164064287,0.086556163,0.457727846,0.208972236,-0.016689746,-0.032046695,0.154451603,0.064173571,-0.054517052,0.087659113,0.716790226,0.231526249,0.165371326,0.188109034,0.002133197,0.223413118,0.077753439,0.336341673
0.086770824,0.162014283,-0.11690776,-0.068441002,-0.179965146,-0.154848153,-0.848208771,0.846189101,-0.021735669,-0.128232779,0.677639997,0.039982178,-0.338816144,0.845769667,0.660919171,1,0.879320781,0.907376879,0.53395824,0.645633619,0.847069553,0.565644544,0.20131043,0.151905385,0.575719764,0.144277495,0.086734267,0.36239042,0.168956168,0.074210652,-0.100065,0.164534068,0.103848278,0.008089807,0.047545609,0.529514693,0.20660957,0.170434313,0.170068841,0.053017908,0.194316923,0.088603095,0.251262777
0.07374225,0.188764026,-0.133844986,-0.041879111,-0.174233997,-0.143240422,-0.800666144,0.802617873,-0.004777073,-0.102306124,0.713812891,0.056153228,-0.290191082,0.849583663,0.718049295,0.879320781,1,0.873588868,0.57445636,0.692732847,0.880793579,0.602142312,0.200873128,0.157509567,0.623673351,0.158331728,0.078844024,0.384178769,0.187156185,0.096660009,-0.056472503,0.177151818,0.113082995,0.000391104,0.092827587,0.584383155,0.22696316,0.180666644,0.187173924,0.051084162,0.212321083,0.091064735,0.278026285
0.039390583,0.158491604,-0.093382114,0.009829979,-0.091512941,-0.043905758,-0.799863039,0.848837855,0.064312933,-0.038158907,0.629903585,0.130266755,-0.271648394,0.756615031,0.543079737,0.907376879,0.873588868,1,0.464161606,0.575045848,0.810198517,0.506357184,0.176458,0.145871526,0.517032753,0.148451121,0.124247208,0.169493776,0.157916506,0.147782421,-0.043438507,0.182367116,0.140241442,0.067719036,0.087019312,0.473453412,0.187838016,0.170601859,0.144114674,0.138736149,0.176194231,0.101867791,0.229783697
0.062137834,0.331964966,-0.116295271,-0.052293768,-0.136829641,-0.121578619,-0.572850549,0.610259588,-0.012259396,-0.089525531,0.702600879,0.035169403,-0.182211447,0.614369924,0.652406995,0.53395824,0.57445636,0.464161606,1,0.886777198,0.598617717,0.622632748,0.375280024,0.273661038,0.801044749,0.239893101,0.156390481,0.511959622,0.3257422,0.055606099,-0.022354343,0.219868927,0.1383815,-0.015646614,0.108681872,0.795422941,0.381573074,0.308718445,0.371075445,0.052752627,0.337768174,0.112823877,0.429763907
0.106015366,0.236624823,-0.05493507,-0.0748405,-0.163024752,-0.148634978,-0.646223905,0.648498619,-0.040804591,-0.110111046,0.734761091,0.011158271,-0.22168194,0.687643051,0.690862304,0.645633619,0.692732847,0.575045848,0.886777198,1,0.727474467,0.620097577,0.313378153,0.210158644,0.783525337,0.161739262,0.0617007,0.344300746,0.227546589,0.050934975,-0.049388984,0.176781352,0.106942913,-0.040797403,0.065681954,0.752362798,0.308222229,0.234114239,0.309824894,0.057035965,0.278738012,0.073733621,0.358655262
0.058777177,0.191140937,-0.103634865,-0.09774348,-0.239532812,-0.20810559,-0.80628916,0.74706978,-0.050999848,-0.155145298,0.701181622,0.004957512,-0.33247967,0.858263187,0.747693703,0.847069553,0.880793579,0.810198517,0.598617717,0.727474467,1,0.58560051,0.232962794,0.169149372,0.645062839,0.141025163,0.081376149,0.348197093,0.178937815,0.052873704,-0.067644651,0.148677961,0.105645986,-0.025008982,0.020444247,0.643650303,0.234835744,0.187566689,0.216725936,0.011133954,0.201563294,0.070122717,0.265953926
0.133959651,0.368003829,-0.188138433,0.001592089,-0.137504017,-0.11795159,-0.634592433,0.63328206,0.055412553,-0.068949473,0.552065905,0.132984018,-0.21466931,0.571868965,0.485924941,0.565644544,0.602142312,0.506357184,0.622632748,0.620097577,0.58560051,1,0.373224969,0.331749574,0.638701588,0.266220278,0.262700227,0.143882153,0.395994432,0.145959492,0.06980668,0.306304233,0.186843125,0.033333027,0.088291235,0.556195844,0.418725331,0.373356434,0.405448283,0.031862636,0.337120037,0.19064843,0.431880621
0.09970265,0.891114477,-0.023987669,0.309987323,0.073200942,0.138350749,-0.220396859,0.24529381,0.323403526,0.152902619,0.278151362,0.505794875,-0.030093933,0.252851866,0.281877414,0.20131043,0.200873128,0.176458,0.375280024,0.313378153,0.232962794,0.373224969,1,0.90789944,0.476111645,0.791013493,0.802194043,0.288504321,0.885396295,0.585460558,0.464956128,0.791239364,0.754866076,0.324947888,0.238209508,0.328262063,0.866392887,0.890748992,0.944129957,0.172814841,0.7609025,0.598623721,0.81843061
0.095802337,0.953054055,-0.017809423,0.382694248,0.144161713,0.197498822,-0.171805585,0.197017622,0.375083076,0.207878652,0.239459073,0.566629622,0.006510622,0.183008559,0.16839939,0.151905385,0.157509567,0.145871526,0.273661038,0.210158644,0.169149372,0.331749574,0.90789944,1,0.400997852,0.852176782,0.838145011,0.166802266,0.965324027,0.635229067,0.573758737,0.888584098,0.81995172,0.365439661,0.3224149,0.241812549,0.898380191,0.957648555,0.976840776,0.212848294,0.783652222,0.681620612,0.789787411
0.034423444,0.414200949,-0.174401202,0.150751522,-0.011933014,0.036362588,-0.647465939,0.696747047,0.167089974,0.064178231,0.710642718,0.234627806,-0.15524117,0.668938629,0.757097245,0.575719764,0.623673351,0.517032753,0.801044749,0.783525337,0.645062839,0.638701588,0.476111645,0.400997852,1,0.348722264,0.358553912,0.637221697,0.401982895,0.255720261,0.12769055,0.367086428,0.268580407,0.153352916,0.256388547,0.803247226,0.489013729,0.426599602,0.380200217,0.186700238,0.403384464,0.276593821,0.584463194
0.085232913,0.896936969,-0.008511421,0.572731144,0.209549674,0.332874855,-0.179840455,0.210449729,0.507080521,0.303855498,0.15472726,0.8382665,0.00109947,0.214010545,0.164064287,0.144277495,0.158331728,0.148451121,0.239893101,0.161739262,0.141025163,0.266220278,0.791013493,0.852176782,0.348722264,1,0.952250469,0.364986483,0.885937943,0.844156347,0.560615616,0.963267312,0.922329005,0.66549123,0.33317887,0.131813784,0.853445394,0.914880916,0.974351875,0.293286327,0.65814707,0.889973346,0.866095934
0.016930508,0.893223932,0.025913478,0.697698092,0.279113419,0.510889297,-0.127984349,0.160131606,0.588553489,0.34106002,0.077144868,0.858365024,0.101891389,0.170232476,0.086556163,0.086734267,0.078844024,0.124247208,0.156390481,0.0617007,0.081376149,0.262700227,0.802194043,0.838145011,0.358553912,0.952250469,1,0.425728546,0.874055008,0.8860013,0.681939117,0.94447086,0.940301337,0.684058208,0.340581771,0.111695952,0.845866395,0.909368389,0.943297737,0.302200619,0.661151951,0.794616876,0.836254458
-0.066401918,0.28152635,-0.1194155,0.190538147,-0.130017036,0.132132874,-0.284260304,0.472483937,0.340977414,0.111202352,0.40168819,0.153402153,-0.075334352,0.285758294,0.457727846,0.36239042,0.384178769,0.169493776,0.511959622,0.344300746,0.348197093,0.143882153,0.288504321,0.166802266,0.637221697,0.364986483,0.425728546,1,0.249865096,0.074655955,0.064509972,0.251274437,0.177774062,0.231298237,0.138959858,0.498773115,0.223601888,0.258674563,0.185345917,0.013041849,0.122864317,0.216282341,0.350873601
0.039483797,0.992396959,-0.054070509,0.427520564,0.133203076,0.204957042,-0.19263801,0.224092598,0.405279844,0.244847393,0.248250409,0.648383468,-0.000963744,0.198839835,0.208972236,0.168956168,0.187156185,0.157916506,0.3257422,0.227546589,0.178937815,0.395994432,0.885396295,0.965324027,0.401982895,0.885937943,0.874055008,0.249865096,1,0.64426782,0.509826654,0.909939165,0.788358755,0.385501329,0.34665204,0.235083122,0.95706637,0.979888107,0.994748353,0.244436864,0.797105773,0.725220645,0.855096562
0.030739427,0.673407816,0.053099407,0.904797519,0.520960491,0.733734529,-0.087365341,0.133640901,0.804151747,0.643090508,0.082518334,0.98451896,0.368761723,0.108799353,-0.016689746,0.074210652,0.096660009,0.147782421,0.055606099,0.050934975,0.052873704,0.145959492,0.585460558,0.635229067,0.255720261,0.844156347,0.8860013,0.074655955,0.64426782,1,0.69338244,0.847414876,0.916066125,0.85510363,0.441763138,0.035631204,0.625951694,0.71477785,0.706039301,0.507736427,0.571095221,0.787284471,0.694899766
0.12200413,0.551735244,0.053817795,0.565073659,0.470630217,0.434214088,0.020545776,-0.02341581,0.515437334,0.408744033,0.013890333,0.677423959,0.309936552,-0.146891195,-0.032046695,-0.100065,-0.056472503,-0.043438507,-0.022354343,-0.049388984,-0.067644651,0.06980668,0.464956128,0.573758737,0.12769055,0.560615616,0.681939117,0.064509972,0.509826654,0.69338244,1,0.670129856,0.649555969,0.519241914,0.315770519,-0.059949415,0.532870632,0.570524491,0.478423231,0.327672714,0.464280713,0.57300298,0.499520887
0.097701135,0.914335956,-0.01926877,0.644456602,0.273928993,0.368768705,-0.18587272,0.221506745,0.548732478,0.350623592,0.184574417,0.855092734,0.049159403,0.204270242,0.154451603,0.164534068,0.177151818,0.182367116,0.219868927,0.176781352,0.148677961,0.306304233,0.791239364,0.888584098,0.367086428,0.963267312,0.94447086,0.251274437,0.909939165,0.847414876,0.670129856,1,0.91622471,0.64682992,0.415968368,0.130322953,0.891902594,0.933777274,0.949128105,0.387654882,0.726615569,0.874123237,0.877394064
0.024731571,0.821929071,0.029087727,0.739739371,0.360949884,0.517884036,-0.127422585,0.144885369,0.65694833,0.456909047,0.098347946,0.921050035,0.140263157,0.156075531,0.064173571,0.103848278,0.113082995,0.140241442,0.1383815,0.106942913,0.105645986,0.186843125,0.754866076,0.81995172,0.268580407,0.922329005,0.940301337,0.177774062,0.788358755,0.916066125,0.649555969,0.91622471,1,0.789999345,0.339219924,0.076644809,0.752845018,0.857663136,0.922781192,0.335418168,0.674792482,0.83264739,0.778238145
0.032068124,0.391151342,0.06496971,0.77217668,0.386726065,0.633764805,-0.057342114,0.086188935,0.621502136,0.466220157,-0.00975457,0.850248002,0.354244516,0.022478835,-0.054517052,0.008089807,0.000391104,0.067719036,-0.015646614,-0.040797403,-0.025008982,0.033333027,0.324947888,0.365439661,0.153352916,0.66549123,0.684058208,0.231298237,0.385501329,0.85510363,0.519241914,0.64682992,0.789999345,1,0.20635514,-0.008333958,0.363437943,0.464565785,0.295391106,0.284555885,0.325409557,0.744477393,0.477484824
0.08623663,0.381989315,0.031803946,0.563357721,0.530384714,0.555077088,-0.042643916,0.120724561,0.604309805,0.579489603,0.084903364,0.44773833,0.187385857,-0.009879793,0.087659113,0.047545609,0.092827587,0.087019312,0.108681872,0.065681954,0.020444247,0.088291235,0.238209508,0.3224149,0.256388547,0.33317887,0.340581771,0.138959858,0.34665204,0.441763138,0.315770519,0.415968368,0.339219924,0.20635514,1,0.092514964,0.363457355,0.40049529,0.346903694,0.700323686,0.250359833,0.26928763,0.491748688
0.004116158,0.231633131,-0.117308371,-0.038861445,-0.133115694,-0.119493191,-0.618661595,0.669194298,0.002341607,-0.079523123,0.69497125,0.005152334,-0.236858299,0.63277123,0.716790226,0.529514693,0.584383155,0.473453412,0.795422941,0.752362798,0.643650303,0.556195844,0.328262063,0.241812549,0.803247226,0.131813784,0.111695952,0.498773115,0.235083122,0.035631204,-0.059949415,0.130322953,0.076644809,-0.008333958,0.092514964,1,0.277518795,0.229594389,0.270487949,-0.020651395,0.2666521,0.087388481,0.359382892
0.074315598,0.948417314,-0.083775965,0.375246415,0.115447491,0.162773897,-0.238431665,0.28941356,0.355347173,0.177984739,0.30385953,0.639551534,-0.02008821,0.255105134,0.231526249,0.20660957,0.22696316,0.187838016,0.381573074,0.308222229,0.234835744,0.418725331,0.866392887,0.898380191,0.489013729,0.853445394,0.845866395,0.223601888,0.95706637,0.625951694,0.532870632,0.891902594,0.752845018,0.363437943,0.363457355,0.277518795,1,0.955013042,0.930938846,0.278931898,0.800493178,0.680318107,0.876148467
0.020955735,0.987869363,-0.053579358,0.485708856,0.189760192,0.263742662,-0.193619506,0.235169863,0.43656658,0.25050485,0.243207488,0.709253287,0.016046402,0.222574893,0.165371326,0.170434313,0.180666644,0.170601859,0.308718445,0.234114239,0.187566689,0.373356434,0.890748992,0.957648555,0.426599602,0.914880916,0.909368389,0.258674563,0.979888107,0.71477785,0.570524491,0.933777274,0.857663136,0.464565785,0.40049529,0.229594389,0.955013042,1,0.97389756,0.281652801,0.792911828,0.719570092,0.859763478
0.047572359,0.991921262,-0.098732203,0.313539412,-0.01148362,0.024960667,-0.173205055,0.198954868,0.267608815,0.05865039,0.271557079,0.725267134,-0.025062472,0.189530246,0.188109034,0.170068841,0.187173924,0.144114674,0.371075445,0.309824894,0.216725936,0.405448283,0.944129957,0.976840776,0.380200217,0.974351875,0.943297737,0.185345917,0.994748353,0.706039301,0.478423231,0.949128105,0.922781192,0.295391106,0.346903694,0.270487949,0.930938846,0.97389756,1,0.182305697,0.800037855,0.906093085,0.824188949
0.140182404,0.263302418,0.022049174,0.582488586,0.739599616,0.619903983,-0.024986983,0.116920658,0.662281655,0.616088044,0.029604519,0.458458348,0.292876882,-0.066602806,0.002133197,0.053017908,0.051084162,0.138736149,0.052752627,0.057035965,0.011133954,0.031862636,0.172814841,0.212848294,0.186700238,0.293286327,0.302200619,0.013041849,0.244436864,0.507736427,0.327672714,0.387654882,0.335418168,0.284555885,0.700323686,-0.020651395,0.278931898,0.281652801,0.182305697,1,0.226372064,0.27637398,0.362341154
0.129275569,0.748601357,-0.001905797,0.337673809,0.126185864,0.184857382,-0.215002195,0.247096974,0.287187187,0.146300615,0.297658886,0.515572632,-0.002355593,0.229407567,0.223413118,0.194316923,0.212321083,0.176194231,0.337768174,0.278738012,0.201563294,0.337120037,0.7609025,0.783652222,0.403384464,0.65814707,0.661151951,0.122864317,0.797105773,0.571095221,0.464280713,0.726615569,0.674792482,0.325409557,0.250359833,0.2666521,0.800493178,0.792911828,0.800037855,0.226372064,1,0.532332035,0.749283784
0.091362722,0.673639691,0.008001623,0.578551616,0.182686495,0.334015925,-0.128932879,0.163751906,0.489167985,0.375728549,0.104960279,0.823945293,-0.017959813,0.18251547,0.077753439,0.088603095,0.091064735,0.101867791,0.112823877,0.073733621,0.070122717,0.19064843,0.598623721,0.681620612,0.276593821,0.889973346,0.794616876,0.216282341,0.725220645,0.787284471,0.57300298,0.874123237,0.83264739,0.744477393,0.26928763,0.087388481,0.680318107,0.719570092,0.906093085,0.27637398,0.532332035,1,0.750795497
0.166597434,0.836610989,-0.023465478,0.434413268,0.160440136,0.256180512,-0.298639217,0.337192891,0.431847148,0.242287336,0.363373109,0.642098747,-0.028263551,0.32548771,0.336341673,0.251262777,0.278026285,0.229783697,0.429763907,0.358655262,0.265953926,0.431880621,0.81843061,0.789787411,0.584463194,0.866095934,0.836254458,0.350873601,0.855096562,0.694899766,0.499520887,0.877394064,0.778238145,0.477484824,0.491748688,0.359382892,0.876148467,0.859763478,0.824188949,0.362341154,0.749283784,0.750795497,1