female_1,male_1,ratio0_14_1,ratio15_64_1,ratio65_1,urbanpop_1,totalpop_1,gdpcon_1,gdpcur_1,gdp_growth_1,gdpperca_con_1,gdpperca_cur_1
1,0.999841961,0.98507182,0.998502432,0.957434479,0.980974335,0.999961156,0.676339586,0.643454915,0.043612997,-0.084134679,-0.084134679
0.999841961,1,0.985662294,0.99852025,0.954729133,0.978843599,0.999959705,0.668124923,0.635823944,0.045316033,-0.086625204,-0.086625204
0.98507182,0.985662294,1,0.975273732,0.900077747,0.938587047,0.985415788,0.590118917,0.549063216,0.044930479,-0.117646561,-0.117646561
0.998502432,0.99852025,0.975273732,1,0.964741695,0.985347269,0.998547405,0.68355709,0.654038765,0.045634183,-0.078674279,-0.078674279
0.957434479,0.954729133,0.900077747,0.964741695,1,0.98854023,0.956110327,0.835556751,0.814341944,0.026100573,-0.000506388,-0.000506388
0.980974335,0.978843599,0.938587047,0.985347269,0.98854023,1,0.980114163,0.777130531,0.753156416,0.033501987,-0.057614718,-0.057614718
0.999961156,0.999959705,0.985415788,0.998547405,0.956110327,0.980114163,1,0.67394702,0.641503046,0.047135116,-0.093647618,-0.093647618
0.676339586,0.668124923,0.590118917,0.68355709,0.835556751,0.777130531,0.67394702,1,0.983696202,-0.019888705,0.121549812,0.121549812
0.643454915,0.635823944,0.549063216,0.654038765,0.814341944,0.753156416,0.641503046,0.983696202,1,-0.018603795,0.116395951,0.116395951
0.043612997,0.045316033,0.044930479,0.045634183,0.026100573,0.033501987,0.047135116,-0.019888705,-0.018603795,1,-0.084409503,-0.084409503
-0.084134679,-0.086625204,-0.117646561,-0.078674279,-0.000506388,-0.057614718,-0.093647618,0.121549812,0.116395951,-0.084409503,1,1
-0.084134679,-0.086625204,-0.117646561,-0.078674279,-0.000506388,-0.057614718,-0.093647618,0.121549812,0.116395951,-0.084409503,1,1